遣いとマイペースさが挙げられる。
- ZaPASSエゴグラムを利用して、自分の強みと弱みを分析することを推奨する。
- なりたい自分となれる自分が一致しない場合、内省を行ってモヤモヤを整理する必要がある。
- 内省は自分自身と向き合い、自分がなりたいと思う姿や生きたい人生を見つけるための重要なアクティビティである。
- 内省において、思考と感覚・感情の両方の側面を考慮することが重要である。
- 自分がなりたい姿に近づくには、感覚・感情の側面に注目する方が効果的である。
- 内省はベストな答えを見つけるためのプロセスであり、常に自己成長のフレームワークとして機能する。
- 自己成長には、今持っている材料だけでなく、歴史や哲学などの知識や経験も必要である。
- 内省を行う際には、感じるだけでなく、考えたり行動したりして自己を成長させることが重要である。
- 内省はキャリアだけでなく、ビジネスパーソン全般にとっても重要なスキルである。
- ビジネス界では、コーチングや自己内省の需要が高まっており、それによって自己を成長させるアプローチが重視されている。
- 高度経済成長期や戦後の教育では、一つの正解に向かって最適化するアプローチが一般的であった。
- しかし、VUCA時代においては、答えを作るだけでなく、問いを探求し、自己を成長させることが求められている。
- 組織全体でも、コーチングや瞑想などのツールを提供し、個々の成長を支援する取り組みが行われている。
1. 本日の授業はメタ認知を高めるマインドフルネスについての授業。
2. 中村悟先生はマインドフルネスの専門家であり、個人事業ニコフルを経営している。
3. 授業の流れは、メタ認知を感じる、メタ認知を理解する、メタ認知を鍛えるの三つのパートで構成されている。
4. 最初のワークでは、1分間ぼーっとすることを体験する。
5. メタ認知を感じることは、現在の状況や経験に意識を向けること。
6. 参加者はぼーっとする時間の中で感じたことや思ったことをコメントして共有する。
7. ぼーっとすることについてのコメントでは、ぼーっとするのが難しいという意見が多かった。
8. ぼーっとすることは、普段は意識しない状態に入ることであり、リラックスすることも目的の一つである。
- ジャーナリングは手書きで行うことが基本であり、パソコンのキータッチでも良いが、手書きの方が効果的である。
- ジャーナリングの目的は、自己認識や思考整理を促すことである。
- 3分間の手書きを行い、その後数十秒間書いた内容を読み返す。その後、感じたことや思ったことを共有する。
- ジャーナリングを行うことで、新たな発見や自己認識ができる。
- 手書きの方が頭の回転速度より遅くなるため、時差が生まれ、メタ認知ができる。
- ジャーナリングは日記を書くよりも、自己振り返りや内省に有効である。
1. ジャーナリングは自分のモヤモヤを整理するための有効な方法である。
2. メタ認知は普段から行っていることであり、自己成長やキャリアアップに繋がる。
3. 日記もジャーナリングになり得るし、絵を描くことも個人の創造性やメッセージを客観的に捉える面でジャーナリングになる。
4. マインドフルネスの効果は個人によって異なり、少しずつでも効果を実感できると思われる。
5. メタ認知において感情の揺れに敏感になることが重要である。
1. 感情の起伏は成長のメタ認知の指標となる。
2. ジャーナリングのおすすめの時間は朝や夜があり、個人の生活リズムに合わせて行うことが重要。
3. ジャーナリングやマインドフルネスを行う時間は朝が一般的に良いが、自分がスッキリした状態で行うことが重要。
4. 自己認識と自己整理がビジネスマナーやスキル、キャリアアップに繋がる。
5. 自己を整えることで他の人に影響を与えることができ、仕事が進みやすくなる。
6. 1日1回の短い時間から始めることで習慣化しやすい。最初は少ない時間から始め、徐々に増やすことが効果的。
7. シングルタスクを心がけるのは難しいが、脳はマルチタスキングに傾きやすい。脳が常に動いているため、脳がながら作業を好むこともある。
- 省エネの意味は、一つのことをやって終わりにするのではなく、省エネな状態で効率的に次のことに取り組むこと。
- 脳科学的にもシングルタスク化が効果的であり、筋肉のように鍛えることが重要。
- ジャーナリングのお題は自分で作成する他、ネットや書籍からも参考にすることができる。
- 自己認知に過敏になりすぎると、自己整えが後回しになってしまう。その場合、1回自分を整えに行くことが重要。
- 通勤中の呼吸に集中することは、周囲の人に気兼ねをさせる可能性があるため、マインド
