の目線の2段階くらい上に設定することが良い。
- チャレンジすることによって新しい目標が見えてくる。
- 完璧主義は自分や周囲を苦しめる性質である。
- 完璧さを追求すると時間がかかりすぎたり他人に仕事を任せられなくなる。
- ほどほど主義の方が仕事はうまくいく。
- 完璧主義を治すためには、自分が完璧主義であることを認識し、症状や心の状態を理解する必要がある。
- 症状が出たら緩く考える心を持つことで完璧主義をなくすことができる。
- 家計簿の1円のずれにこだわることは意味がなく、目的は月ごとの支出を把握することである。
- 本日の授業の流れは、徳田の紹介、会社についての説明、キャリアの考え方、自己分析と内省の説明の4つのセクションで進行する。
- 徳田の経歴は、2012年にイルグルムというマーケティングソフトウェア会社に新卒入社し、約5年間働いた後に香港に海外転職。香港と台湾、フィリピンの日系チームのリージョンを見ながらM&Aを担当するなどの経験を経て、ZaPASS JAPANの経営に専念するキャリアになった。
- 徳田の経歴には、貧しい家庭で育ち、大学受験で国立を目指すも落ちて私立に進学した経験なども含まれており、大人になってからの選択肢の広がりを実感し、興味を持つようになった。
- 徳田は責任感が強く、無駄にすることのできない機会を大切にした経験もあり、社会人になる前にボランティア団体を立ち上げるなど積極的に取り組んできた。
1. 考えるだけでなく、感情やニーズを持って行動することが重要である。
2. ゴールには達成しなければいけないもの、できたらいいなと思うもの、本気で達成したいものがある。
3. ゴールを実現したいと思うかどうかは自信の度合いで判断できる。
4. 内省力は感じたり観察したりする力であり、Beingの部分が重要である。
5. 自分のBeingの状態がスポーツ選手の例で示されるように、パフォーマンスに影響を与える。
6. Beingの力が崩れると、Doingも上手くいかなくなる可能性がある。
- 自己分析によって自分自身の状態や感情を理解することが重要である。
- 内省を行うことで、自己分析を深めることができる。
- 内省の方法として、週に1回自分と向き合う時間を設けることがおすすめされている。
- 内省の前に深呼吸をし、次に4つの問いに答える。
- 先週の自分のパフォーマンスを振り返り、心が動いた瞬間を感じる。
- 理想的な1週間の指標を考える。
- 手放すべきものやメンタルブロックを明確にし、放つことを検討する。
- おすすめのウェブページやコラムにアクセスすることで、内省についての詳細情報を得ることができる。
- 承認欲求は普通の感情であり、頑張る原動力になることもある。
- 承認欲求が自己の理想像との一致を妨げる場合には、その発動の要因を理解し、自分にスポットライトを当てることが重要である。
1. 内省の時間を取ることで、自分の理解や体感覚が深まる
2. 自分ができないと思ってしまうことに対して、良い悪いの判断はせずにまずその感覚を受け入れる
3. できないと思うこと自体は悪いことではないし、自分にブレーキをかけてくれる役割もある
4. できないと思う自分に対して、その感覚を持ちながら、まずは何を求められているのかを聞いてみる
5. やるかやらないかで3回悩む場合、やってもやらなくてもいいのか、自分の感情と感覚に従って選択する
6. 感じることを考えたり行動したりし、そこからまとめたものを感じることが重要である
- 需要が多く供給が少ない仕事をしても、自分の人生にはない感覚が少なくなる。
- 自分の人生の土台を大切にすることが重要。
- 内省力を持つことは、躍動するような動きを見つけるための手段。
- ZaPASSという会社があり、コーチングやコミュニティなどのサービスを提供している。
- 受講生は引き続きスクーで学ぶことを続ける。
- オンライン社員研修の講師は、経験から学んでベンチャーに入社し、会社の上場や創業にも関わっていた。
- 海外留学がしたくて、TOEICのスコアが低かったが、香港の拠点を立ち上げる機会に転職し、香港での生活が始まった。
- 妻と二人で子育てをしながら仕事をしている。保育園には入れずに家庭で育てている。
- 会社は設立から3年経ち、東京とオランダに拠点があり、ビジョンとして「自分らしく笑える大人」と「未来が楽しみなこども」を増やすことを掲げている。
- コーチングのプロフェッショナルである小寺さんと垂水さんが創業期から経営陣に入っている。
- ZaPASSは個人向けのコーチングサービスや法人向けのサービス、またコーチングを学ぶ機会を提供するスクール事業を行っている。
