 ユーザーが持ち帰りたい感情や感覚には、楽しみやリアル感、緊張感、不安、やる気などがある。
- ユーザーはキャリアの振り返りや見直しを通じて、自己の理解と成長を目指している。
- ユーザーは自分に向き合い、自分の考えや感情を言語化することに重要性を感じている。
- ユーザーは時間を大切にし、研修の時間内で自分が持ち帰りたいことを考え、それにフォーカスすることを目指している。

【キャリアの考え方について】
- 生活に必要な最適な情報取得と処理が各産業で浸透していき、通信インフラの発展によって常時コネクテッドな状態が実現されると予測されている。
- AIが情報の最適化処理に活用され、情報取得と処理が進化していく。
- 地球環境が危機に瀕しており、エネルギー技術の進歩や持続可能な経済活動への意識が重要となる。
- エコロジカルフットプリントの指標によると、現在の資源の使用量が持続可能なラインを超えている。
- 金融資産の格差が大きくなる可能性があり、AIやロボットの普及によってベーシックインカムの導入などが検討される。
- コミュニティは人にとって非常に重要であり、無意識のうちに常に選択されている。
- 働き方はテクノロジーの進歩によって大きく変わり、メタバースの出現によって所有と交換の概念が重要となる。
- 成長や変化を感じやすくなり、サステナビリティの視点が重要視される。
- テクノロジーによって仕事の有用感が代替される可能性があるため、実力主義が加速する。
- 選択肢が増えることで成功の定義や生き方に多様性が増えるが、自分の軸を持つか外部の軸に最適化するかという選択が重要となる。
- 自己分析や内省を行うことで自分の強みを知ることが重要であり、会社も個人も成果を生み出すために戦略を立てる必要がある。
- 自己分析では、自分を取り巻く環境での強みや戦略的な言葉で表現されるケイパビリティを明確にすることが重要。
- ZaPASSJAPANのツールで、強みと弱みを分析する波形図が利用できる。
- 強みと弱みは相補的な関係にあり、スキルだけでなくロジカルさや気遣いなどの持ち味も考慮する。
1. Sエゴグラムを利用して、自分の強みと弱みを分析することを推奨する。
2. 内省は自分自身と向き合い、なりたい姿や生きたい人生を見つけるための重要なアクティビティである。
3. 自己成長には、今持っている材料だけでなく、歴史や哲学などの知識や経験も必要である。
4. 内省を行う際には、感じるだけでなく、考えたり行動したりして自己を成長させることが重要である。
5. 内省はキャリアだけでなく、ビジネスパーソン全般にとっても重要なスキルである。
6. コーチングや自己内省の需要が高まっており、自己を成長させるアプローチが重視されている。
7. VUCA時代においては、問いを探求し、自己を成長させることが求められている。
8. 組織全体でも、コーチングや瞑想などのツールを提供し、個々の成長を支援する取り組みが行われている。
9. ジャーナリングは自己認識や思考整理を促すための有効な方法である。
10. メタ認知は自己成長やキャリアアップに繋がる重要なスキルである。
11. 手書きのジャーナリングが効果的であり、頭の回転速度よりも遅くなるためメタ認知ができる。
12. ジャーナリングを行うことで自己認識や新たな発見ができる。
13. メタ認知において感情の揺れに敏感になることが重要である。
14. ジャーナリングやマインドフルネスを行う時間は朝が一般的に良いが、自分がスッキリした状態で行うことが重要。
15. 自己整えは他の人に影響を与え、仕事が進みやすくなる。
16. ジャーナリングやマインドフルネスを始めるには、1日1回の短い時間から始めることが効果的。
17. シングルタスクを心がけ、省エネな状態で効率的に取り組むことが重要であり、脳科学的にも効果的である。
18. ジャーナリングのお題は自分で作成する他、ネットや書籍からも参考にすることができる。
19. 自己認知に過敏になりすぎると、自己整えが後回しになってしまうため、1回自分を整えに行くことが重要。
以下はトランスクリプションで言及されたポイントの要約です：

メタ認知について：
- 授業の終わりには関連情報やURLが紹介される場合があります。
- メタ認知は、自分が認知していること自体を認知することであり、客観的な視点から認識することを指します。
- ビジネスの場面でもメタ認知は重要であり、アイディアの提案やプロジェクトマネージャーとしての会議進行に役立ちます。
- メタ認知の言葉を解像度を上げて捉えると、自分がどの視点から見えているのかを認識すると言い換えることができます。
- インテグ
