して対策を立てることが効果的
- PDCAの実行フェーズで失敗する人が多いため、Doの設計に注意が必要
- DOに関して、Doで失敗するケースが多いということを認識する必要がある。
- KPIとKDIを連動させて自分自身でコントロール可能な行動の指標を設定することが重要。
- DOの設定には時間的なタイムラグがあるため、慎重に行う必要がある。
- KDIはタイムリーに設定できるようにすることがより良い結果を得るために重要。
- DOを進めるためには、課題を小分けにし、誰もが手をつけられる状態にすることが重要。
- DOの方法として、解決案をDoに変換し、優先順位をつける、DOを定量化する、KDIをTODOに落とし込むというプロセスがある。
- 解決案を具体的な行動に分解し、それに応じてDOを設定することが重要。
- DOには優先順位をつけることで選択し、残すDOは最低一つ必要。
- DOの優先順位はインパクト重視となり、時間がかからずに気軽にできるものも選ぶことができる。
- KDI（Key Deliverable Indicator）は、目標達成のための行動指標であり、具体的なアウトプットや行動を明確化するものである。
- KDIはルーティンな行動や期限付きの行動の両方が存在する。
- KDIはKGI（Key Goal Indicator）やKPI（Key Performance Indicator）に直接的に関連しており、目標達成に向けた連続性を持つ。
- KDIの設定は個人のリズムや実行計画によって行われる。
- KDIの達成度合いは仮説として立てられ、検証のタイミングで見直しや改善が行われる。
- KGIと会社の求めるものにギャップがある場合、適切な対策を立てて目標達成に向けて努力する必要がある。
- 会社が求めることと個人のKGIは異なる場合、話し合いをして繋げるようにすることが重要である。
- 自分の計画を立てても常にスケジュールより遅れてしまう場合、期限を前倒しすることで解決できる可能性がある。
- ギリギリの状況でないと頭が働かないという追い詰められた人間心理があるが、それは前倒ししても起こり得るので、早めに作業を進めることを心がけるべきである。
- 因数分解は、KGIゴールと現状の間にあるギャップを埋めるための課題の質を高める手法である。
- 課題を品質、価格、ブランド力、販売チャネル、需要ニーズなどに分解し、深掘りしていくことで具体的な課題を明確化する。
- 価格に関する課題を深掘りする際には、値づけ、原価、競合価格などを考慮する。
- 原価が高い場合には、業者の選定と交渉を改善することで課題解決につながることがある。
以下は、オンライン社員研修の要点のまとめです：

1. 商品の売れない問題を解決するためには、価格を競合価格に合わせてプライシングする必要がある。
2. 経験不足の人の交渉術を改善し、業者との交渉を上手く行うことが重要である。
3. 経験不足を埋め、交渉術を習得することで、KGIに直結する対策を立てることができる。
4. メールアプローチのプロセスにはリスト準備、送信、アポ取り、ニーズ喚起、提案、検討、成約、リピートのステップがある。
5. 因数分解を行うことで、問題の要因やネックポイントを特定し、解決策を見つけることができる。
6. 上司として魅力的であるためには、自身の人間的な魅力とビジネス的な魅力を洗い出し、それを活かす方法を考えることが重要である。
7. 課題を言語化することにより、その問題の性質を明確にし、ピンポイントな解決策を見つけることができる。
8. 因数分解を行うことで、多くの課題や解決策を見つけることができる。
9. 因子を増やすことで解決策の幅を広げることができる。
10. 因数分解を実践することで、売上や事業などの課題を効果的に解決することができる。

その他の要点：

- 既存事業と新規事業に分かれると、営業マーケット、商品企画、立ち上げ事業、R&Dチームなどに分かれる。
- 課題の解決には、量の課題か質の課題かを明確にし、それぞれに対応した取り組みが必要。
- プレゼンテーションにおける資料作りとストーリー作り、質疑応答に分けて考える。
- デザインに苦手意識がある場合は、課題解決策としてデザインに関するアドバイスを求めるか、他の方法でプレゼンテーションの弱点を補う。
- 解決策の大きさと取り組みやすさは関連している。
- 解決のためのスピード感は解決策の大きさに影響する。
- 因数分解は壁を細かく分解して取り組みやすくする方法。
- 富田さんの経験例を通じて、因数分解とPDCAの重要性が示される。
- マインドマップで目指す姿と現状を比較し、課題解決のプロセスを
