「PDCAの実行フェーズで失敗しがちであるため、Doの設計に注意が必要である」ということを認識する必要がある。
- DOには時間的なタイムラグがあるため、慎重に行う必要がある。
- KDIをタイムリーに設定できるようにすることが重要である。
- DOを進めるためには、課題を小分けにし、誰もが手をつけられる状態にすることが重要である。
- 解決案を具体的な行動に分解し、それに応じてDOを設定することが重要である。
- DOには優先順位をつけることで選択し、残すDOは最低一つ必要である。
- KDIは目標達成のための行動指標であり、具体的なアウトプットや行動を明確化するものである。
- KDIはルーティンな行動や期限付きの行動の両方が存在する。
- KDIはKGIやKPIに関連しており、目標達成に向けた連続性を持つ。
- KDIの設定は個人のリズムや実行計画によって行われる。
- KGIと会社の求めるものにギャップがある場合、適切な対策を立てて目標達成に向けて努力する必要がある。

オンライン社員研修の要点のまとめ:
1. 商品の売れない問題を解決するためには、価格を競合価格に合わせてプライシングする必要がある。
2. 経験不足の人の交渉術を改善し、業者との交渉を上手く行うことが重要である。
3. メールアプローチのプロセスにはリスト準備、送信、アポ取り、ニーズ喚起、提案、検討、成約、リピートのステップがある。
4. 因数分解を行うことで、問題の要因やネックポイントを特定し、解決策を見つけることができる。
5. 上司として魅力的であるためには、自身の人間的な魅力とビジネス的な魅力を洗い出し、それを活かす方法を考えることが重要である。

その他の要点:
- 既存事業と新規事業に分かれると、営業マーケット、商品企画、立ち上げ事業、R&Dチームなどに分かれる。
- プレゼンテーションにおける資料作りとストーリー作り、質疑応答に分けて考える。
- デザインに苦手意識がある場合は、他の方法でプレゼンテーションの弱点を補う。
- 解決のためのスピード感は解決策の大きさに影響する。
- 因数分解は壁を細かく分解して取り組みやすくする方法。
- マインドマップで目指す姿と現状を比較し、課題解決のプロセスを考える。
