以下は講義の要点です：

メタ認知力の向上について：
- メタ認知力の向上サインは言語化や感覚の変化です。
- 呼吸に集中するワークやボーっとする時間と呼吸する時間の違いを認識することが重要です。
- マインドフルネス（mindfulness）のワークにはいくつかの方法がありますが、シングルタスク（one-task-at-a-time）に集中することが重要です。
- メタ認知は、総合的な脳の筋トレとして捉えられます。
- メタ認知トレーニングでは、7週間にわたって週に1回30分程度のジャーナリングを行うことが推奨されます。
- ジャーナリングのポイントは、自分の思考をアウトプットし、それを再読することによってメタ認知を高めることです。

安斎勇樹さんについて：
- 安斎勇樹さんは株式会社MIMIGURIの代表取締役CEOです。
- 安斎さんはベンチャー企業の代表を務める傍ら、東京大学で特任助教もしており、経営と研究活動を両立させています。
- 安斎さんの代表作としては、『問いのデザイン』という本があり、問題解決の方法論を体系化した本であり、HRアワードでも最優秀賞を受賞しています。

問いかけのサポートについて：
- 本日のテーマは問いかけのサポートです。
- 参加者は質問や感想をコメント欄に投稿することができます。
- お通夜ミーティングについての話が進行しています。
- 質問の形式やトピックを柔軟に変えることができると良いとされています。
- 相手の行動や表情を観察するために、サインに注意することが重要です。
- 情報を取るチャネルを増やすために、オンラインホワイトボードを使用した作業や、マウスの動きで相手の活発さなどを把握する方法があります。
- 相手を知ろうとする行動が重要です。
- フカボリモード（相手のこだわりを深ぼる質問）とユサブリモード（とらわれかのような質問）の2つのモードがあります。
- フカボリモードの鉄板メニューには、素人質問、ルーツ発掘、真善美、パラフレイズ、仮定法、バイアス破壊のパターンがあります。
- 問いかけの工夫が行われることにより、チームメンバーの意見や個性が引き出され、チームの成果が向上するとされています。
- 問いかけの質を上げることで、問題解決や意見の共有が促進されるとされています。
- 心理的安全性の重要性が指摘されています。
- 認識の固定化が創造性を止めている要因であり、目的や意図を見失わせる状態を指しています。
- コミュニケーションの欠如により、関係性が悪化し、イノベーションが起こりにくくなるとされています。
- 自己のとらわれやこだわりを疑い、問い直すことが重要です。
- 問いかけの作法を学ぶことで、チームのポテンシャルが発揮されます。
- 適度な制約をかけ、質問の言い回しを工夫することが重要であり、多くの意見を引き出すために質問の形を変えることも有効です。
- 外部の人の目線を入れることが重要であり、自己に気付くために異質な他者や異文化に触れることが有効です。
- 問いかけは相手のこだわりに焦点を当てることや個性を尊重することが重要です。
